,0
959,0.7412
960,0.7412
961,0.7408
962,0.7408
963,0.7412
964,0.7408
965,0.7412
966,0.7412
967,0.7416
968,0.742
969,0.7424
970,0.7424
971,0.7424
972,0.7424
973,0.7428
974,0.742
975,0.742
976,0.742
977,0.7416
978,0.7416
979,0.7416
980,0.7416
981,0.7416
982,0.7424
983,0.742
984,0.742
985,0.742
986,0.7412
987,0.7416
988,0.742
989,0.7416
990,0.7424
991,0.742
992,0.7424
993,0.7416
994,0.742
995,0.742
996,0.7416
997,0.742
998,0.7424
999,0.744
1000,0.7428
1001,0.7436
1002,0.7444
1003,0.7444
1004,0.7448
1005,0.7448
1006,0.7436
1007,0.7432
1008,0.7436
1009,0.744
1010,0.7436
1011,0.7436
1012,0.7432
1013,0.7432
1014,0.7432
1015,0.7432
1016,0.7432
1017,0.7432
1018,0.7436
1019,0.7448
1020,0.7444
1021,0.744
1022,0.744
1023,0.7444
1024,0.744
1025,0.744
1026,0.7444
1027,0.744
1028,0.7448
1029,0.7448
1030,0.7444
1031,0.7448
1032,0.7444
1033,0.744
1034,0.7444
1035,0.744
1036,0.7444
1037,0.7448
1038,0.7452
1039,0.7448
1040,0.744
1041,0.7444
1042,0.744
1043,0.7448
1044,0.7444
1045,0.744
1046,0.744
1047,0.7436
1048,0.7432
1049,0.7436
1050,0.7436
1051,0.744
1052,0.744
1053,0.744
1054,0.7444
1055,0.7452
1056,0.7448
1057,0.7444
1058,0.7444
1059,0.7424
1060,0.742
1061,0.7424
1062,0.7428
1063,0.7424
1064,0.7424
1065,0.7436
1066,0.7436
1067,0.7436
1068,0.7428
1069,0.7428
1070,0.7432
1071,0.7432
1072,0.7436
1073,0.7436
1074,0.7436
1075,0.7436
1076,0.7428
1077,0.7436
1078,0.7424
1079,0.7432
1080,0.7432
1081,0.7436
1082,0.7428
1083,0.7436
1084,0.7432
1085,0.7428
1086,0.7428
1087,0.7436
1088,0.7432
1089,0.744
1090,0.744
1091,0.744
1092,0.7436
1093,0.7436
1094,0.7436
1095,0.7436
1096,0.7436
1097,0.7436
1098,0.7436
1099,0.7428
1100,0.7436
1101,0.7444
1102,0.7436
1103,0.7452
1104,0.7448
1105,0.7436
1106,0.7444
1107,0.7436
1108,0.7432
1109,0.7432
1110,0.7444
1111,0.7436
1112,0.7436
1113,0.744
1114,0.7436
1115,0.7436
1116,0.7428
1117,0.7432
1118,0.7432
1119,0.7428
1120,0.7428
1121,0.7428
1122,0.7428
1123,0.7424
1124,0.7424
1125,0.742
1126,0.742
1127,0.7424
1128,0.7424
1129,0.7432
1130,0.7432
1131,0.7428
1132,0.7432
1133,0.744
1134,0.7436
1135,0.7432
1136,0.7432
1137,0.7424
1138,0.7436
1139,0.744
1140,0.7436
1141,0.744
1142,0.744
1143,0.7444
1144,0.7436
1145,0.744
1146,0.744
1147,0.7444
1148,0.7444
1149,0.744
1150,0.744
1151,0.7432
1152,0.744
1153,0.7436
1154,0.7436
1155,0.744
1156,0.7444
1157,0.7436
1158,0.7436
1159,0.744
1160,0.7448
1161,0.7448
1162,0.7444
1163,0.7436
1164,0.7432
1165,0.7432
1166,0.7432
1167,0.744
1168,0.744
1169,0.7444
1170,0.7436
1171,0.7432
1172,0.7432
1173,0.7432
1174,0.7424
1175,0.744
1176,0.7432
1177,0.744
1178,0.7444
1179,0.7444
1180,0.7436
1181,0.7436
1182,0.7436
1183,0.7432
1184,0.7432
1185,0.7436
1186,0.7428
1187,0.7432
1188,0.7432
1189,0.7428
1190,0.7428
1191,0.7432
1192,0.744
1193,0.7436
1194,0.744
1195,0.744
1196,0.7436
1197,0.744
1198,0.744
1199,0.744
1200,0.7436
1201,0.744
1202,0.7444
1203,0.7436
1204,0.744
1205,0.7452
1206,0.7448
1207,0.7436
1208,0.7436
1209,0.744
1210,0.744
1211,0.7444
1212,0.7444
1213,0.7436
1214,0.7432
1215,0.7436
1216,0.7432
1217,0.7436
1218,0.744
1219,0.744
1220,0.7436
1221,0.7436
1222,0.7432
1223,0.7436
