,0
864,0.684
865,0.708
866,0.734
867,0.71
868,0.722
869,0.732
870,0.704
871,0.714
872,0.69
873,0.712
874,0.722
875,0.7
876,0.706
877,0.69
878,0.716
879,0.708
880,0.71
881,0.69
882,0.71
883,0.702
884,0.714
885,0.712
886,0.696
887,0.718
888,0.712
889,0.722
890,0.736
891,0.712
892,0.71
893,0.712
894,0.726
895,0.728
896,0.708
897,0.712
898,0.708
899,0.742
900,0.698
901,0.7
902,0.698
903,0.726
904,0.7
905,0.718
906,0.708
907,0.712
908,0.724
909,0.73
910,0.704
911,0.71
912,0.726
913,0.706
914,0.706
915,0.698
916,0.702
917,0.718
918,0.708
919,0.698
920,0.714
921,0.72
922,0.712
923,0.728
924,0.704
925,0.724
926,0.742
927,0.732
928,0.698
929,0.682
930,0.71
931,0.702
932,0.71
933,0.704
934,0.702
935,0.708
936,0.71
937,0.7
938,0.708
939,0.72
940,0.708
941,0.728
942,0.704
943,0.714
944,0.706
945,0.702
946,0.702
947,0.724
948,0.712
949,0.734
950,0.7
951,0.71
952,0.702
953,0.728
954,0.708
955,0.714
956,0.71
957,0.746
958,0.73
959,0.732
960,0.736
961,0.734
962,0.736
963,0.722
964,0.724
965,0.716
966,0.702
967,0.726
968,0.72
969,0.736
970,0.712
971,0.718
972,0.724
973,0.742
974,0.73
975,0.706
976,0.746
977,0.722
978,0.71
979,0.75
980,0.732
981,0.7
982,0.698
983,0.726
984,0.694
985,0.698
986,0.712
987,0.732
988,0.706
989,0.694
990,0.72
991,0.738
992,0.714
993,0.724
994,0.702
995,0.748
996,0.722
997,0.714
998,0.704
999,0.73
1000,0.736
1001,0.728
1002,0.738
1003,0.716
1004,0.716
1005,0.724
1006,0.728
1007,0.728
1008,0.724
1009,0.718
1010,0.726
1011,0.73
1012,0.74
1013,0.736
1014,0.708
1015,0.726
1016,0.718
1017,0.73
1018,0.718
1019,0.71
1020,0.734
1021,0.708
1022,0.732
1023,0.742
1024,0.742
1025,0.75
1026,0.73
1027,0.75
1028,0.698
1029,0.718
1030,0.734
1031,0.728
1032,0.748
1033,0.702
1034,0.728
