,rank,rank_mass,auc,model
124,0.7,0.7521236,0.725,iter_11
125,0.8666666666666667,0.8664565,0.8966666666666667,iter_11
126,0.6666666666666666,0.6650234,0.5633333333333334,iter_11
127,0.8666666666666667,0.8928692,0.92,iter_11
128,0.9,0.9090478,0.9733333333333334,iter_11
129,0.8333333333333334,0.8929214,0.9266666666666667,iter_11
130,0.7,0.67253494,0.6433333333333333,iter_11
131,0.6333333333333333,0.6914862,0.625,iter_11
132,0.7333333333333333,0.7065675,0.6766666666666666,iter_11
133,0.8666666666666667,0.875774,0.91,iter_11
134,0.9,0.8986176,0.9400000000000001,iter_11
135,0.7,0.6513482,0.6499999999999999,iter_11
136,0.7,0.71399266,0.6716666666666666,iter_11
137,0.7666666666666667,0.7118793,0.7083333333333333,iter_11
138,0.9666666666666667,0.9116488,0.985,iter_11
139,0.7,0.72506297,0.6666666666666667,iter_11
140,0.6666666666666666,0.7012873,0.6616666666666667,iter_11
141,0.9333333333333333,0.9088648,0.97,iter_11
142,0.9666666666666667,0.9052492,0.94,iter_11
143,0.9,0.88677657,0.9566666666666667,iter_11
144,0.8333333333333334,0.8855543,0.9133333333333333,iter_11
145,0.9,0.8908883,0.9366666666666668,iter_11
146,0.8,0.884176,0.885,iter_11
147,0.7333333333333333,0.6800287,0.6966666666666667,iter_11
148,0.8333333333333334,0.8946428,0.88,iter_11
149,0.6666666666666666,0.721543,0.6716666666666666,iter_11
150,0.9,0.86784166,0.9333333333333333,iter_11
151,0.7333333333333333,0.73944366,0.705,iter_11
152,0.7,0.69732934,0.615,iter_11
153,0.6,0.6936099,0.605,iter_11
154,0.6333333333333333,0.65641767,0.5766666666666667,iter_11
155,0.9,0.9191236,0.9483333333333334,iter_11
156,0.6333333333333333,0.6864136,0.6183333333333333,iter_11
157,0.8666666666666667,0.8873074,0.9166666666666667,iter_11
158,0.8333333333333334,0.8837254,0.875,iter_11
159,0.7,0.6918085,0.6616666666666666,iter_11
160,0.6333333333333333,0.6710174,0.6166666666666667,iter_11
161,0.9,0.89595133,0.9333333333333333,iter_11
162,0.8666666666666667,0.9262997,0.9133333333333333,iter_11
163,0.9,0.89642656,0.9133333333333333,iter_11
164,0.8666666666666667,0.88403165,0.9066666666666667,iter_11
165,0.7333333333333333,0.75954974,0.7766666666666666,iter_11
166,0.7,0.705471,0.6849999999999999,iter_11
167,0.9,0.912018,0.9616666666666667,iter_11
168,0.6666666666666666,0.6992516,0.6483333333333333,iter_11
169,0.7666666666666667,0.8474519,0.8566666666666667,iter_11
170,0.7,0.7240872,0.6933333333333334,iter_11
171,0.8666666666666667,0.8903981,0.9266666666666666,iter_11
172,0.7,0.7621136,0.7083333333333333,iter_11
173,0.6666666666666666,0.6931858,0.6183333333333333,iter_11
174,0.6666666666666666,0.7083263,0.6266666666666667,iter_11
175,0.9333333333333333,0.9175656,0.9716666666666667,iter_11
176,0.8666666666666667,0.89521134,0.9433333333333334,iter_11
177,0.8666666666666667,0.90682584,0.9049999999999999,iter_11
178,0.7333333333333333,0.71390134,0.6933333333333334,iter_11
179,0.6666666666666666,0.7584185,0.7033333333333334,iter_11
180,0.8666666666666667,0.88872415,0.9166666666666667,iter_11
181,0.9333333333333333,0.9264019,0.98,iter_11
182,0.7,0.6850076,0.6483333333333333,iter_11
183,0.9,0.9183471,0.96,iter_11
184,0.7,0.7068099,0.6799999999999999,iter_11
185,0.7,0.72049487,0.695,iter_11
186,0.6666666666666666,0.65583974,0.5866666666666667,iter_11
187,0.8666666666666667,0.9216368,0.9516666666666667,iter_11
188,0.9333333333333333,0.90179276,0.9616666666666667,iter_11
189,0.7,0.6646862,0.62,iter_11
190,0.6666666666666666,0.7244988,0.6416666666666666,iter_11
191,0.6,0.6145237,0.5150000000000001,iter_11
192,0.8333333333333334,0.91096324,0.8733333333333334,iter_11
193,0.8333333333333334,0.8549035,0.91,iter_11
194,0.6666666666666666,0.6926575,0.6433333333333333,iter_11
195,0.7333333333333333,0.7142465,0.7233333333333334,iter_11
196,0.8666666666666667,0.8984799,0.9466666666666667,iter_11
197,0.6333333333333333,0.6399704,0.5316666666666666,iter_11
198,0.8,0.85117626,0.8799999999999999,iter_11
199,0.8,0.87867635,0.875,iter_11
200,0.7333333333333333,0.77254134,0.7499999999999999,iter_11
201,0.6333333333333333,0.7897717,0.66,iter_11
202,0.7333333333333333,0.7356401,0.6616666666666666,iter_11
203,0.7333333333333333,0.77982104,0.685,iter_11
204,0.7,0.79608953,0.7450000000000001,iter_11
205,0.7,0.7803704,0.67,iter_11
206,0.7333333333333333,0.814241,0.6950000000000001,iter_11
207,0.7333333333333333,0.7712412,0.68,iter_11
208,0.7333333333333333,0.80805767,0.73,iter_11
209,0.7666666666666667,0.8121311,0.76,iter_11
210,0.7666666666666667,0.7349077,0.7016666666666667,iter_11
